#ItemId    IconId  RawIconKey  Name
30	7549	65032	Allagan Tomestone of Law
2220	5833	30086	Company Escutcheon
2650	5834	40675	Company Hat
2993	5835	42337	Company Tabard
5608	5836	20254	Strength Materia V
5638	5837	20260	Fire Materia V
5668	5838	20258	Heavens' Eye Materia V
5683	5839	20256	Battledance Materia V
5688	5840	20255	Gatherer's Guerdon Materia V
5703	5841	20253	Craftsman's Competence Materia V
5718	5842	20259	Quickarm Materia V
6032	5843	49043	Flyer Shaffron
6109	5844	41076	Warlord's Crown
7968	5845	52325	Onus of an Engineer
8574	5846	26042	Soul of the Machinist
8727	5847	52148	Odin Miniature
8728	5848	52151	Bahamut Miniature
8729	5849	52150	Stuffed Tonberry
8730	5850	52331	A Northerly Wind
8731	5851	52330	The Antecedent
8839	5852	26040	Soul of the Dark Knight
8840	5853	26041	Soul of the Astrologian
9462	5854	52558	Level 2 Aetherial Wheel Stand
9463	5855	52559	Level 3 Aetherial Wheel Stand
9645	5856	42424	Auri Harness
9646	5857	44306	Auri Armguards
9647	5858	45541	Auri Breeches
9648	5859	46447	Auri Sandals
9649	5860	42425	Auri Gown
9650	5861	44307	Auri Halfgloves
9651	5862	45542	Auri Pantalettes
9652	5863	46448	Auri Buskins
9653	5864	27682	Grade 2 Wheel of Confrontation
9670	5865	27683	Grade 3 Wheel of Productivity
9685	5866	27685	Primed Grade 2 Wheel of Confrontation
9702	5867	27686	Primed Grade 3 Wheel of Productivity
10025	5868	30517	Cross Pattee
10074	5869	28619	Wind-up Alphinaud
10075	7780	28620	Wind-up Alisaie
10155	5870	25946	Ceruleum Tank
10156	5871	27701	Bronco-type Hull
10157	5872	27702	Invincible-type Hull
10158	5873	27703	Enterprise-type Hull
10159	5874	27704	Invincible II-type Hull
10160	5875	27705	Odyssey-type Hull
10161	5876	27706	Tatanora-type Hull
10162	5877	27721	Bronco-type Sail
10163	5878	27722	Invincible-type Propellers
10164	5879	27723	Enterprise-type Bladder
10165	5880	27724	Invincible II-type Propellers
10166	5881	27725	Odyssey-type Bladders
10167	5882	27726	Tatanora-type Propellers
10168	5883	27741	Bronco-type Forecastle
10169	5884	27742	Invincible-type Forecastle
10170	5885	27743	Enterprise-type Forecastle
10171	5886	27744	Invincible II-type Forecastle
10172	5887	27745	Odyssey-type Forecastle
10173	5888	27746	Tatanora-type Forecastle
10174	5889	27761	Bronco-type Aftcastle
10175	5890	27762	Invincible-type Aftcastle
10176	5891	27763	Enterprise-type Aftcastle
10177	5892	27764	Invincible II-type Aftcastle
10178	5893	27765	Odyssey-type Aftcastle
10179	5894	27766	Tatanora-type Aftcastle
10307	7550	65034	Centurio Seal
10308	7551	65030	Blue Crafters' Scrip
10310	7552	65028	Blue Gatherers' Scrip
10324	5895	27603	Raw Doman Urushi
10329	5896	40191	Baron Helm
10330	5897	41116	Baron Circlet
10331	5898	48647	Baron Earrings
10335	5899	20407	Dark Matter Cluster
10336	5900	26051	Soul of the Crafter
